City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
1219,Djibo,BF,14.1022,-1.6306,83.07,10,97,9.82,overcast clouds
1220,Shihezi,CN,44.3,86.0333,28.17,85,76,1.07,broken clouds
1221,Pomezia,IT,41.667,12.5052,57.54,84,75,10.36,broken clouds
1222,Turtas,RU,58.9417,69.1325,32.23,94,100,11.77,overcast clouds
1223,Kapiri Mposhi,ZM,-13.9652,28.6809,73.0,34,4,5.77,clear sky
1224,Karrapur,IN,23.95,78.85,61.43,53,1,3.85,clear sky
1225,Chornobay,UA,49.6708,32.3239,30.88,83,12,5.73,few clouds
1226,Jaciara,BR,-15.9653,-54.9683,84.69,72,87,3.78,overcast clouds
1227,Tanout,NE,14.9709,8.8879,74.43,14,18,11.7,few clouds
1228,Bogorodskoye,RU,56.55,37.8833,17.1,95,100,7.38,overcast clouds
1229,Boo,SE,59.3333,18.2833,23.99,89,100,2.3,overcast clouds
1230,Gari,RU,59.4307,62.3497,35.01,97,100,12.95,light rain
1231,Veraval,IN,20.9,70.3667,76.39,69,20,2.48,few clouds
1232,Salekhard,RU,66.53,66.6019,-31.47,96,5,3.09,clear sky
1233,Lanivtsi,UA,49.8633,26.0908,24.84,79,100,8.34,overcast clouds
1234,Gaillac,FR,43.9016,1.8969,47.55,86,11,16.28,few clouds
1235,Florianopolis,BR,-27.6146,-48.5012,76.62,66,75,1.99,broken clouds
1236,Niamey,NE,13.5137,2.1098,84.06,12,16,9.04,few clouds
1237,Sebinkarahisar,TR,40.2883,38.4236,36.05,51,100,4.45,overcast clouds
1238,Mumbwa,ZM,-14.9783,27.0619,78.42,28,43,5.84,scattered clouds
1239,Marsa Matruh,EG,31.3525,27.2453,63.84,49,77,15.32,broken clouds
1240,Punta Cardon,VE,11.6581,-70.215,83.97,66,38,27.0,scattered clouds
1241,De Aar,ZA,-30.6497,24.0123,64.98,75,100,17.34,light rain
1242,Valparaiso,CL,-33.0393,-71.6273,82.63,53,0,5.75,clear sky
1243,Arrifes,PT,37.7667,-25.7,64.24,68,75,4.61,broken clouds
1244,Nizwa,OM,22.9333,57.5333,68.4,52,3,3.65,clear sky
1245,Clevelandia,BR,-26.3958,-52.4708,83.52,35,100,6.13,overcast clouds
1246,America Dourada,BR,-11.4553,-41.4361,67.23,85,100,3.62,overcast clouds
1247,Araguacu,BR,-12.9306,-49.8264,83.41,73,90,3.04,overcast clouds
1248,La Tuque,CA,47.4334,-72.7824,19.0,54,82,5.03,broken clouds
1249,Miraflores,MX,19.2167,-98.8083,72.36,22,0,4.25,clear sky
1250,Ventersburg,ZA,-28.0856,27.1381,59.68,92,100,3.11,light rain
1251,Narasannapeta,IN,18.4167,84.05,69.48,95,100,6.51,moderate rain
1252,El Alto,PE,-4.2714,-81.2147,74.86,67,100,13.65,overcast clouds
1253,Iskateley,RU,67.6803,53.1512,4.3,96,100,9.95,overcast clouds
1254,Adre,TD,13.4667,22.2,77.45,22,0,8.9,clear sky
1255,Novita,CO,4.9551,-76.6053,79.34,92,100,4.16,overcast clouds
1256,Oranjemund,NA,-28.55,16.4333,61.2,88,100,7.94,light rain
1257,Muravlenko,RU,63.7898,74.523,-12.57,98,100,7.2,overcast clouds
1258,Tucuma,BR,-0.1833,-50.05,82.89,74,72,3.24,broken clouds
1259,Korem,ET,12.5058,39.5228,50.9,66,5,3.44,clear sky
1260,Kargasok,RU,59.0556,80.8572,17.62,92,100,9.24,overcast clouds
1261,Tsilna,RU,54.5953,48.1414,29.77,83,88,12.77,overcast clouds
1262,Sao Felix Do Xingu,BR,-6.6447,-51.995,81.95,81,100,2.48,overcast clouds
1263,Royan,FR,45.6285,-1.0281,48.78,69,100,24.18,overcast clouds
1264,Grajau,BR,-5.8194,-46.1386,81.03,85,96,2.82,overcast clouds
1265,Murray,US,40.6669,-111.888,60.91,50,1,3.0,clear sky
1266,Baoro,CF,5.6667,15.9667,78.44,42,76,3.56,broken clouds
1267,Cairo,EG,30.0626,31.2497,66.96,45,40,4.61,scattered clouds
1268,Surgut,RU,61.25,73.4167,-3.82,84,0,4.47,clear sky
1269,Mataruska Banja,RS,43.6901,20.6109,31.95,86,0,0.0,clear sky
1270,Boda,CF,4.3189,17.4695,79.86,57,94,2.33,overcast clouds
1271,Siverek,TR,37.755,39.3167,45.21,43,100,2.59,light rain
1272,Sulina,RO,45.1559,29.6536,43.25,80,100,9.46,overcast clouds
1273,Tromso,NO,69.6496,18.957,19.42,58,0,10.36,clear sky
1274,Vermilion,US,40.1667,-87.7506,48.56,41,1,5.99,clear sky
1275,Shahrud,IR,36.4182,54.9763,36.55,50,0,1.45,clear sky
1276,Voyvozh,RU,62.892,54.9635,4.8,92,100,14.76,snow
1277,Keuruu,FI,62.2667,24.7,3.79,83,7,9.24,clear sky
1278,Malinyi,TZ,-8.9333,36.1333,77.43,69,75,6.71,broken clouds
1279,Bahar,IR,34.9072,48.4414,41.11,31,53,4.81,broken clouds
1280,Znamenskoye,RU,57.1281,73.8282,26.6,94,100,9.08,overcast clouds
1281,Harlingen,US,26.1906,-97.6961,84.88,77,75,13.8,broken clouds
1282,Yelets,RU,52.6237,38.5017,28.08,81,10,6.17,clear sky
1283,San Miguelito,PA,9.0333,-79.5,89.78,67,40,1.99,scattered clouds
1284,Winter Garden,US,28.5653,-81.5862,78.06,62,100,1.01,overcast clouds
1285,Bayji,IQ,34.9311,43.487,56.48,37,100,2.44,overcast clouds
1286,Iacu,BR,-12.7672,-40.2117,80.44,62,9,3.33,clear sky
1287,Aligudarz,IR,33.4006,49.6949,38.82,34,98,3.8,overcast clouds
1288,Tafresh,IR,34.692,50.013,40.44,36,60,5.08,broken clouds
1289,Kaduy,RU,59.2,37.15,-0.36,97,27,3.67,scattered clouds
1290,Goiatuba,BR,-18.0125,-49.3547,83.28,55,93,1.9,overcast clouds
1291,Teguise,ES,29.0605,-13.564,61.02,63,0,10.36,clear sky
1292,Sandy Bay,AU,-42.913,147.3532,43.09,84,10,1.01,clear sky
1293,Sabha,LY,27.0377,14.4283,51.33,32,0,5.7,clear sky
1294,Mandiana,GN,10.6333,-8.6833,84.6,22,95,4.88,overcast clouds
1295,Bambamarca,PE,-6.6833,-78.5333,60.57,82,100,5.84,light rain
1296,Sarangarh,IN,21.6,83.0833,64.4,78,97,5.3,overcast clouds
1297,Do Gonbadan,IR,30.3586,50.7981,57.2,48,67,1.07,broken clouds
1298,Lucapa,AO,-8.4192,20.7447,67.55,95,91,1.92,overcast clouds
1299,Tsaratanana,MG,-16.7833,47.65,78.76,52,1,6.08,clear sky
1300,Jesenik,CZ,50.2294,17.2046,34.79,85,100,9.8,overcast clouds
1301,Vangaindrano,MG,-23.35,47.6,75.09,92,31,6.85,scattered clouds
1302,Obera,AR,-27.4871,-55.1199,94.53,21,92,4.07,overcast clouds
1303,Khotyn,UA,48.4833,26.5,33.17,53,100,8.3,overcast clouds
1304,Forest Hills,US,42.9595,-85.4898,41.67,49,75,8.01,broken clouds
1305,Matay,EG,28.419,30.7792,64.62,36,36,8.14,scattered clouds
1306,Gambela,ET,8.25,34.5833,87.49,32,100,2.19,overcast clouds
1307,Staryy Krym,UA,45.0333,35.1,43.75,91,100,2.64,overcast clouds
1308,Culebra,PR,18.303,-65.301,83.17,74,69,15.01,broken clouds
1309,Urambo,TZ,-5.0667,32.05,75.16,49,98,1.39,overcast clouds
1310,Cabinda,AO,-5.55,12.2,78.4,88,100,6.69,overcast clouds
1311,Chupa,RU,66.27,33.0549,6.06,94,94,4.25,overcast clouds
1312,Banepa,NP,27.6298,85.5214,53.92,94,20,0.0,few clouds
1313,Gorno-Altaysk,RU,51.9561,85.955,21.18,97,100,3.31,overcast clouds
