City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
231,Krasnoselkup,65.7,82.4667,3.49,94,100,14.61,RU,2021-12-02 03:55:02
232,Paita,-5.0892,-81.1144,65.55,84,100,7.65,PE,2021-12-02 03:59:52
233,Mamlyutka,54.9375,68.5394,33.82,77,100,15.9,KZ,2021-12-02 04:00:52
234,Sivas,39.7916,37.0019,27.59,83,9,2.46,TR,2021-12-02 04:00:53
235,Uray,60.1247,64.7758,34.47,93,100,12.55,RU,2021-12-02 04:00:53
236,Musoma,-1.5,33.8,66.33,83,58,7.94,TZ,2021-12-02 04:00:54
237,Thinadhoo,0.5333,72.9333,82.11,75,72,6.4,MV,2021-12-02 04:00:54
238,Surt,31.2089,16.5887,55.94,64,1,11.45,LY,2021-12-02 04:00:54
239,Atar,20.5169,-13.0499,68.88,14,100,9.86,MR,2021-12-02 04:00:55
240,Sabha,27.0377,14.4283,53.37,53,93,9.86,LY,2021-12-02 04:00:55
241,Antigonish,45.6169,-61.9986,37.2,90,85,10.02,CA,2021-12-02 04:00:55
242,Shu,43.5983,73.7614,41.67,47,65,10.0,KZ,2021-12-02 04:00:56
243,Oudtshoorn,-33.5907,22.2014,57.56,80,100,6.6,ZA,2021-12-02 04:00:56
244,Kabo,7.6994,18.629,73.51,31,43,2.3,CF,2021-12-02 04:00:56
245,Nicoya,10.1483,-85.452,72.41,89,91,6.44,CR,2021-12-02 04:00:57
246,Dindori,22.95,81.0833,70.07,35,58,3.78,IN,2021-12-02 04:00:57
247,Inhambane,-23.865,35.3833,75.34,78,35,10.42,MZ,2021-12-02 04:00:57
248,Sikandarpur,26.05,84.05,72.66,40,91,4.9,IN,2021-12-02 04:00:57
249,Vyritsa,59.4078,30.3481,18.91,98,92,3.02,RU,2021-12-02 04:00:58
250,Karaton,-6.3424,106.1045,89.76,61,61,7.58,ID,2021-12-02 04:00:58
251,Oktyabrskiy,54.4815,53.471,26.64,91,50,9.44,RU,2021-12-02 04:00:58
252,Balvi,57.1313,27.2658,24.28,95,100,8.48,LV,2021-12-02 04:00:59
253,Mao,39.8885,4.2658,52.36,93,40,5.75,ES,2021-12-02 04:00:59
254,Mannarakkat,10.9833,76.4667,82.87,66,10,3.24,IN,2021-12-02 04:01:21
255,Lubango,-14.9172,13.4925,60.96,85,97,2.3,AO,2021-12-02 04:01:21
256,Acopiara,-6.0953,-39.4525,76.77,72,75,8.5,BR,2021-12-02 04:01:21
257,Meteti,8.4983,-77.9786,72.43,98,83,0.6,PA,2021-12-02 04:01:21
258,Oranjemund,-28.55,16.4333,59.02,92,53,13.4,NA,2021-12-02 04:01:22
259,Santa Maria,-29.6842,-53.8069,61.79,77,60,9.53,BR,2021-12-02 04:01:22
260,Volchikha,52.0333,80.3833,24.44,70,2,10.16,RU,2021-12-02 04:01:22
261,Carnarvon,-24.8667,113.6333,76.86,48,0,20.02,AU,2021-12-02 04:01:23
262,Maldonado,-34.6667,-54.9167,60.19,87,9,4.83,UY,2021-12-02 03:56:27
263,San Bartolome De Tirajana,27.9248,-15.5733,55.87,65,40,19.57,ES,2021-12-02 04:01:23
264,Zhanaozen,43.3,52.8,38.52,77,97,9.6,KZ,2021-12-02 04:01:23
265,Le Port,-20.9373,55.2919,80.56,64,12,3.27,RE,2021-12-02 04:01:24
266,Cockburn Town,21.4612,-71.1419,80.35,73,1,14.54,TC,2021-12-02 04:01:24
267,Faya,18.3851,42.4509,51.3,51,1,2.55,SA,2021-12-02 04:01:24
268,Tambura,5.6,27.4667,75.52,71,82,1.79,SS,2021-12-02 04:01:24
269,Salinopolis,-0.6136,-47.3561,80.6,80,62,10.13,BR,2021-12-02 04:01:25
270,Olavarria,-36.8927,-60.3225,55.54,72,1,9.95,AR,2021-12-02 04:01:25
271,Kabare,-2.4683,28.8242,59.09,93,90,1.92,CD,2021-12-02 04:01:25
272,Brewster,41.3973,-73.6171,41.43,80,100,2.91,US,2021-12-02 04:01:26
273,Kralendijk,12.15,-68.2667,81.32,81,100,19.46,BQ,2021-12-02 04:01:26
274,Humberto De Campos,-2.5983,-43.4611,77.7,87,55,6.26,BR,2021-12-02 04:01:26
275,Svetlyy,54.675,20.1347,38.97,75,100,26.96,RU,2021-12-02 04:01:27
276,Aasiaat,68.7098,-52.8699,21.78,73,94,10.49,GL,2021-12-02 04:01:27
