City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
654,Raga,SS,82.29,broken clouds,8.4596,25.678,
655,Vallenar,CL,89.29,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
656,Lima,PE,71.13,broken clouds,-12.0432,-77.0282,Gran Hotel Bolivar Lima
657,Ibra,OM,67.03,clear sky,22.6906,58.5334,مزرعة راحة النفوس المنزفة
660,Concordia,AR,77.07,broken clouds,-31.393,-58.0209,Palmar Hotel Casino
661,Malakal,SS,84.56,clear sky,9.5334,31.6605,Nile Palace Hotel
664,Madimba,TZ,79.09,scattered clouds,-10.4,40.3333,
666,North Myrtle Beach,US,75.04,clear sky,33.816,-78.68,Avista Resort
669,Parrita,CR,92.98,scattered clouds,9.5201,-84.3225,Beso del Viento
670,Mangai,CD,71.55,heavy intensity rain,-4.05,19.5333,
672,Bouna,CI,85.14,clear sky,9.2667,-3.0,Hôtel lababa
673,Elizabeth City,US,69.03,clear sky,36.2946,-76.2511,Hampton Inn Elizabeth City
674,Karpathos,GR,64.36,broken clouds,35.507,27.2132,Alex
675,Jovellanos,CU,84.7,clear sky,22.8044,-81.1944,Finca Luna
677,Le Port,RE,78.8,few clouds,-20.9373,55.2919,KORBEY D'OR OUEST
678,Mosquera,CO,69.89,scattered clouds,4.7059,-74.2302,Hotel SJ
680,Sechura,PE,77.23,scattered clouds,-5.5569,-80.8222,Hospedaje Costa Bella
681,Chiriqui Grande,PA,84.07,overcast clouds,8.95,-82.1167,Hotel Atlantic
682,Atlantic Beach,US,75.09,clear sky,30.3344,-81.3987,One Ocean Resort and Spa
683,Harihar,IN,69.96,overcast clouds,14.5167,75.8,Azaam Dadapeer Palmbar
684,San Andres,CO,86.02,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
688,Las Tunas,CU,81.66,overcast clouds,20.9617,-76.9511,Hotel Cadillac
689,Puerto Suarez,BO,90.16,thunderstorm,-18.95,-57.8,Hotel casa real
691,Mapiri,BO,82.45,overcast clouds,-15.25,-68.1667,
693,Dolores,AR,69.85,overcast clouds,-36.3132,-57.6792,Apart Hotel - Arianos
694,Ouesso,CG,73.11,moderate rain,1.6136,16.0517,ABENIE Hotel
696,Paramonga,PE,70.61,overcast clouds,-10.6667,-77.8333,HOSTAL MI CHALET - PARAMONGA
697,Cajati,BR,76.66,broken clouds,-24.7361,-48.1228,Lanchonete e Hotel Cortesia
699,Kanniyakumari,IN,79.16,clear sky,8.0833,77.5667,Sparsa
700,Chandbali,IN,68.41,light rain,20.7833,86.7667,KABITA HOMES
701,Paso De Los Toros,UY,83.86,overcast clouds,-32.8167,-56.5167,Complejo Isabelino
702,Pajan,EC,86.23,overcast clouds,-1.5667,-80.4167,Cecadel
703,Kaman,IN,64.17,clear sky,27.65,77.2667,Dr.kishan kaman
704,Clarence Town,AU,66.85,overcast clouds,-32.5833,151.7833,River Downs Cottage
705,Ghanzi,BW,68.95,moderate rain,-21.5667,21.7833,Ghanzi Farmhouse
706,Benjamin Constant,BR,86.13,scattered clouds,-4.3831,-70.0311,CASA AVALIADA
707,Road Town,VG,84.24,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
708,Kaniama,CD,71.11,few clouds,-7.5667,24.1833,
709,Puerto Morazan,NI,92.17,overcast clouds,12.8504,-87.1717,Iglesia de Dios de la profecia
713,Juruti,BR,86.2,moderate rain,-2.1522,-56.0922,Hotel Acauã - ORLA
714,Camabatela,AO,64.67,moderate rain,-8.1881,15.375,Pensão E Restaurantes
715,Mokolo,CM,76.46,overcast clouds,10.7398,13.8019,Diwa Hôtel
717,Ashqelon,IL,70.41,overcast clouds,31.6693,34.5715,Leonardo Ashkelon
719,Lar,IN,72.37,overcast clouds,26.2039,83.9717,Ovaiskarni ward Lar
723,Puerto Carreno,CO,87.78,scattered clouds,6.189,-67.4859,Casa Hotel Victoria
725,Barra Patuca,HN,79.93,overcast clouds,15.8,-84.2833,
727,Koungou,YT,80.31,clear sky,-12.7336,45.2042,Villa Netibor
729,Soroti,UG,73.0,scattered clouds,1.7146,33.6111,Strikers Hotel
